file,channels,labels
256401A01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
256401C01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
256401L01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
256501A01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
256501C01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
256501L01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
256601A01.mat,18,"FCz,Cz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
256601C01.mat,18,"FCz,Cz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
256601L01.mat,18,"FCz,Cz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
256701L01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
256801A01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
256801C01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
256801L01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
256901A01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
256901C01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
256901L01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
257001A01.mat,18,"Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
257001C01.mat,18,"Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
257001L01.mat,18,"Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
257101A01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
257101C01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
257101L01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
257201A01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
257201C01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
257201L01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
257301A01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
257301C01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
257301L01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
257401A01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
257401C01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
257401L01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
257501A01.mat,19,"FCz,Cz,CPz,F8,T8,TP10,P8,O2,F4,C4,CP4,F7,T7,TP9,P7,O1,F3,C3,CP3"
